Point,RP,Stage,Site,MZ,Experiment,Block,Treatment,NNI,WDI,B2,B3,B4,B5,B6,B7,B8,B11,B12,B8A
1,NRP,V6,1,VH,1,1,180N,1.276,1.031,0.1023,0.1241,0.1427,0.1805,0.2343,0.2624,0.2679,0.3675,0.2926,0.291
2,NRP,V6,1,VH,1,1,240N,1.274,1.034,0.104,0.1256,0.1453,0.1821,0.2402,0.2695,0.2773,0.3744,0.2963,0.2974
3,NRP,V6,1,VH,1,1,0N,1.048,0.907,0.0981,0.1202,0.1373,0.177,0.2354,0.266,0.2723,0.3678,0.2905,0.2911
4,NRP,V6,1,VH,1,1,120N,1.208,0.949,0.0999,0.1219,0.1409,0.179,0.2355,0.2653,0.269,0.37,0.2916,0.2924
5,NRP,V6,1,VH,1,1,60N,1.192,0.977,0.0991,0.1226,0.1411,0.1807,0.2426,0.272,0.2775,0.3715,0.293,0.3008
6,NRP,V6,1,VH,1,2,240N,1.334,1.005,0.1061,0.1276,0.1481,0.1856,0.2379,0.2659,0.271,0.3742,0.297,0.2924
7,NRP,V6,1,VH,1,2,120N,1.275,0.959,0.0986,0.1211,0.1386,0.178,0.2295,0.2566,0.2609,0.3563,0.2869,0.2812
8,NRP,V6,1,VH,1,2,180N,1.253,0.934,0.1006,0.1235,0.1413,0.1802,0.2308,0.2596,0.2629,0.3582,0.2873,0.2831
9,NRP,V6,1,VH,1,2,60N,1.215,1.035,0.0985,0.1221,0.1381,0.1782,0.2412,0.274,0.2781,0.3739,0.2939,0.3011
10,NRP,V6,1,VH,1,2,0N,1.165,0.999,0.1019,0.1244,0.1406,0.1808,0.2413,0.2735,0.2786,0.3735,0.2924,0.301
11,NRP,V6,1,VH,1,3,0N,1.252,0.989,0.1004,0.1213,0.1418,0.1792,0.2272,0.2552,0.262,0.381,0.3046,0.2838
12,NRP,V6,1,VH,1,3,240N,1.305,0.989,0.0985,0.1198,0.1364,0.1734,0.2323,0.2617,0.2654,0.3649,0.2881,0.2878
13,NRP,V6,1,VH,1,3,60N,1.289,1.013,0.0998,0.1217,0.1381,0.1788,0.2435,0.2756,0.2799,0.3703,0.2899,0.3018
14,NRP,V6,1,VH,1,3,120N,1.207,1.05,0.1006,0.1217,0.1375,0.1754,0.2401,0.2732,0.2776,0.3709,0.2882,0.2993
15,NRP,V6,1,VH,1,3,180N,1.259,0.97,0.1039,0.1264,0.1422,0.1835,0.2478,0.2822,0.2873,0.3747,0.2899,0.3089
16,NRP,V6,1,L,2,1,180N,1.25,0.811,0.0988,0.121,0.1458,0.1804,0.2209,0.2465,0.2531,0.383,0.3083,0.2752
17,NRP,V6,1,L,2,1,240N,1.315,0.79,0.1005,0.1242,0.1492,0.183,0.2227,0.2483,0.2531,0.3799,0.3076,0.276
18,NRP,V6,1,L,2,1,0N,1.045,0.579,0.0974,0.1211,0.1478,0.1813,0.2155,0.2388,0.2444,0.3674,0.3055,0.2655
19,NRP,V6,1,L,2,1,120N,1.259,0.754,0.0981,0.122,0.1467,0.182,0.2205,0.2451,0.2526,0.3694,0.3065,0.2705
20,NRP,V6,1,L,2,1,60N,1.238,0.741,0.1,0.1232,0.1472,0.1823,0.2221,0.2469,0.2537,0.3762,0.3074,0.2737
21,NRP,V6,1,L,2,2,240N,1.319,0.677,0.0951,0.1181,0.1421,0.1775,0.2159,0.2416,0.2479,0.3757,0.3028,0.2694
22,NRP,V6,1,L,2,2,120N,1.384,0.822,0.1022,0.1255,0.1502,0.1864,0.2233,0.2469,0.2535,0.3827,0.3098,0.2756
23,NRP,V6,1,L,2,2,180N,1.229,0.743,0.1022,0.1248,0.1525,0.1859,0.2224,0.2453,0.2534,0.3768,0.3069,0.2722
24,NRP,V6,1,L,2,2,60N,1.192,0.647,0.102,0.1241,0.1485,0.1836,0.2217,0.2445,0.2522,0.3796,0.3113,0.2726
25,NRP,V6,1,L,2,2,0N,0.852,0.739,0.0995,0.1222,0.1471,0.1801,0.218,0.2413,0.2462,0.3743,0.3097,0.2679
26,NRP,V6,1,L,2,3,0N,0.966,0.675,0.0996,0.1212,0.1466,0.1791,0.2152,0.2375,0.2435,0.3655,0.2976,0.2659
27,NRP,V6,1,L,2,3,240N,1.374,0.892,0.0995,0.1231,0.147,0.1825,0.2251,0.2512,0.2558,0.3778,0.3039,0.2786
28,NRP,V6,1,L,2,3,60N,1.254,0.89,0.0977,0.1222,0.1452,0.1816,0.2334,0.2618,0.2672,0.3822,0.3053,0.2908
29,NRP,V6,1,L,2,3,120N,1.244,0.816,0.0989,0.1224,0.1457,0.182,0.2226,0.2458,0.2531,0.3745,0.3028,0.2735
30,NRP,V6,1,L,2,3,180N,1.366,0.831,0.0981,0.1209,0.1452,0.1806,0.2175,0.2408,0.246,0.3687,0.3047,0.2687
31,NRP,V6,1,H,3,1,180N,1.291,0.953,0.0886,0.1109,0.1313,0.1678,0.2177,0.246,0.2509,0.3626,0.2872,0.2731
32,NRP,V6,1,H,3,1,240N,1.287,0.84,0.0924,0.1149,0.1381,0.1716,0.2154,0.2418,0.2493,0.367,0.2935,0.2681
33,NRP,V6,1,H,3,1,0N,1.084,0.846,0.0905,0.1141,0.1339,0.1695,0.2181,0.2454,0.2515,0.3639,0.2871,0.2697
34,NRP,V6,1,H,3,1,120N,1.281,0.853,0.0879,0.1097,0.13,0.1651,0.2122,0.2375,0.2442,0.3531,0.2781,0.2628
35,NRP,V6,1,H,3,1,60N,1.248,0.913,0.0876,0.1092,0.1293,0.1623,0.2129,0.2379,0.2444,0.3484,0.2759,0.2638
36,NRP,V6,1,H,3,2,240N,1.258,0.826,0.0902,0.1136,0.1356,0.1723,0.2242,0.2517,0.2594,0.3759,0.2957,0.2797
37,NRP,V6,1,H,3,2,120N,1.193,0.705,0.0898,0.1128,0.1353,0.1702,0.2111,0.2355,0.2401,0.359,0.2886,0.2615
38,NRP,V6,1,H,3,2,180N,1.176,0.84,0.0923,0.115,0.138,0.1732,0.2205,0.246,0.2536,0.3748,0.2942,0.274
39,NRP,V6,1,H,3,2,60N,1.153,0.864,0.0891,0.1111,0.1305,0.1664,0.214,0.2394,0.246,0.3585,0.2818,0.2644
40,NRP,V6,1,H,3,2,0N,1.249,0.789,0.0886,0.1105,0.1312,0.1639,0.2068,0.2316,0.237,0.3526,0.2821,0.2579
41,NRP,V6,1,H,3,3,0N,1.104,0.894,0.0933,0.117,0.1394,0.1764,0.2277,0.2559,0.2634,0.3797,0.2988,0.2854
42,NRP,V6,1,H,3,3,240N,1.263,0.79,0.0932,0.1152,0.1383,0.1713,0.2126,0.2376,0.2444,0.3679,0.2936,0.2645
43,NRP,V6,1,H,3,3,60N,1.161,0.725,0.094,0.1166,0.1407,0.1749,0.2172,0.2413,0.2474,0.3693,0.295,0.2677
44,NRP,V6,1,H,3,3,120N,1.332,0.778,0.0933,0.1155,0.1383,0.1724,0.2173,0.2414,0.2511,0.3648,0.2879,0.2682
45,NRP,V6,1,H,3,3,180N,1.23,0.851,0.0892,0.111,0.1315,0.164,0.2081,0.2331,0.2397,0.3495,0.2764,0.2597
46,NRP,V6,1,M,4,1,180N,1.33,0.644,0.1082,0.1307,0.1587,0.1933,0.2262,0.2488,0.2562,0.3944,0.3146,0.2769
47,NRP,V6,1,M,4,1,240N,1.398,0.747,0.1128,0.1383,0.1667,0.2042,0.2457,0.2708,0.2799,0.4113,0.3233,0.3009
48,NRP,V6,1,M,4,1,0N,1.217,0.709,0.1066,0.1309,0.1597,0.1965,0.2354,0.258,0.2656,0.4069,0.3209,0.287
49,NRP,V6,1,M,4,1,120N,1.215,0.711,0.1073,0.1301,0.1571,0.1937,0.2331,0.2576,0.2649,0.3961,0.3148,0.2868
50,NRP,V6,1,M,4,1,60N,1.245,0.846,0.1082,0.1302,0.1561,0.1921,0.234,0.2594,0.2684,0.3928,0.3122,0.2861
51,NRP,V6,1,M,4,2,240N,1.31,0.638,0.1092,0.1337,0.1591,0.1973,0.2431,0.2686,0.2762,0.4082,0.3217,0.2993
52,NRP,V6,1,M,4,2,120N,1.265,0.741,0.1105,0.1353,0.1625,0.2009,0.2412,0.266,0.2759,0.4151,0.3268,0.296
53,NRP,V6,1,M,4,2,180N,1.25,0.767,0.1071,0.1313,0.1572,0.1943,0.2321,0.2549,0.2632,0.401,0.3177,0.2848
54,NRP,V6,1,M,4,2,60N,1.236,0.798,0.1117,0.1362,0.1643,0.2002,0.2429,0.2674,0.2772,0.4065,0.3167,0.2962
55,NRP,V6,1,M,4,2,0N,1.152,0.792,0.1113,0.1359,0.1621,0.2,0.2443,0.2695,0.2796,0.4039,0.3167,0.298
56,NRP,V6,1,M,4,3,0N,1.049,0.629,0.1072,0.131,0.1588,0.1951,0.2347,0.2586,0.2637,0.4049,0.3255,0.289
57,NRP,V6,1,M,4,3,240N,1.25,0.629,0.1083,0.133,0.1594,0.1971,0.2401,0.2646,0.2729,0.4063,0.3226,0.2934
58,NRP,V6,1,M,4,3,60N,1.217,0.823,0.1064,0.13,0.155,0.1927,0.2356,0.2604,0.2701,0.3983,0.3176,0.2887
59,NRP,V6,1,M,4,3,120N,1.234,0.77,0.1043,0.1265,0.152,0.1895,0.2303,0.2538,0.2604,0.3946,0.3141,0.2833
60,NRP,V6,1,M,4,3,180N,1.216,0.819,0.1008,0.1234,0.1472,0.1821,0.2214,0.2445,0.2491,0.3769,0.3013,0.2706
61,NRP,V6,2,H,5,1,180N,1.215,0.905,0.0755,0.1029,0.1172,0.1573,0.2455,0.2785,0.293,0.3551,0.2621,0.3076
62,NRP,V6,2,H,5,1,240N,1.162,0.849,0.0806,0.1063,0.1233,0.1611,0.2333,0.2616,0.2736,0.3536,0.2696,0.2926
63,NRP,V6,2,H,5,1,0N,1.012,0.797,0.0819,0.1089,0.1257,0.1621,0.2324,0.2594,0.2723,0.3561,0.2722,0.2905
64,NRP,V6,2,H,5,1,120N,1.217,0.876,0.0791,0.104,0.1209,0.1578,0.2293,0.2569,0.27,0.3514,0.2696,0.29
65,NRP,V6,2,H,5,1,60N,1.184,0.878,0.0831,0.1081,0.1262,0.1614,0.2264,0.2529,0.2662,0.3559,0.2709,0.2815
66,NRP,V6,2,H,5,2,240N,1.198,0.867,0.0819,0.1083,0.1259,0.1622,0.2364,0.265,0.2781,0.3514,0.2677,0.305
67,NRP,V6,2,H,5,2,120N,1.134,0.809,0.0816,0.1071,0.1245,0.1614,0.2326,0.2598,0.2725,0.3551,0.2716,0.2941
68,NRP,V6,2,H,5,2,180N,1.211,0.826,0.0855,0.1105,0.1318,0.1666,0.2271,0.2513,0.2647,0.3588,0.2816,0.2821
69,NRP,V6,2,H,5,2,60N,1.073,0.893,0.0828,0.109,0.1274,0.1635,0.2285,0.2543,0.2675,0.3553,0.2768,0.281
70,NRP,V6,2,H,5,2,0N,1.061,0.863,0.0809,0.1067,0.123,0.1597,0.2273,0.2525,0.2616,0.3508,0.2659,0.2749
71,NRP,V6,2,H,5,3,0N,1.079,0.929,0.0803,0.1072,0.1242,0.1628,0.2313,0.2568,0.2703,0.3475,0.2695,0.3083
72,NRP,V6,2,H,5,3,240N,1.198,0.839,0.0821,0.1067,0.1262,0.1631,0.229,0.2563,0.2705,0.3599,0.2778,0.3005
73,NRP,V6,2,H,5,3,60N,1.21,0.885,0.0708,0.0967,0.1088,0.148,0.2325,0.2642,0.278,0.3364,0.2539,0.2963
74,NRP,V6,2,H,5,3,120N,1.159,0.929,0.0793,0.1041,0.1201,0.1559,0.2302,0.2595,0.2707,0.3494,0.2671,0.2846
75,NRP,V6,2,H,5,3,180N,1.171,0.871,0.0838,0.1088,0.1275,0.1653,0.2303,0.2555,0.2679,0.3685,0.2775,0.2751
76,NRP,V6,2,L,6,1,180N,1.083,0.859,0.0908,0.1159,0.1402,0.1768,0.2268,0.2502,0.2628,0.3885,0.2994,0.1646
77,NRP,V6,2,L,6,1,240N,1.173,0.893,0.0953,0.12,0.1474,0.182,0.2244,0.2454,0.2596,0.3943,0.3118,0.1667
78,NRP,V6,2,L,6,1,0N,1.101,0.889,0.0955,0.1218,0.1489,0.1821,0.2229,0.2439,0.2585,0.3922,0.3157,0.1797
79,NRP,V6,2,L,6,1,120N,1.23,0.91,0.0896,0.1132,0.1378,0.1739,0.2207,0.2447,0.2595,0.3828,0.3041,0.1959
80,NRP,V6,2,L,6,1,60N,1.249,0.965,0.0878,0.1147,0.1427,0.1784,0.2208,0.2411,0.2543,0.3714,0.3058,0.1894
81,NRP,V6,2,L,6,2,240N,1.215,0.953,0.101,0.1273,0.1571,0.1913,0.2321,0.2556,0.2685,0.403,0.314,0.1849
82,NRP,V6,2,L,6,2,120N,1.205,1.002,0.0941,0.1208,0.1449,0.182,0.2374,0.2638,0.2771,0.3941,0.3025,0.1966
83,NRP,V6,2,L,6,2,180N,1.22,0.939,0.0929,0.1182,0.1473,0.1797,0.2185,0.2379,0.2523,0.3805,0.3107,0.1859
84,NRP,V6,2,L,6,2,60N,1.099,0.972,0.0892,0.1153,0.1379,0.1731,0.225,0.249,0.2621,0.3812,0.2994,0.2072
85,NRP,V6,2,L,6,2,0N,1.072,0.989,0.0887,0.1153,0.143,0.1772,0.2173,0.2374,0.2484,0.3723,0.303,0.1895
86,NRP,V6,2,L,6,3,0N,1.045,0.856,0.0887,0.1142,0.1366,0.1734,0.2258,0.2491,0.2618,0.3762,0.2935,0.1898
87,NRP,V6,2,L,6,3,240N,1.18,0.899,0.0971,0.1234,0.15,0.1844,0.2405,0.2644,0.2799,0.3996,0.3039,0.2094
88,NRP,V6,2,L,6,3,60N,1.165,0.945,0.0917,0.1179,0.1413,0.1766,0.232,0.2548,0.2671,0.3845,0.296,0.2021
89,NRP,V6,2,L,6,3,120N,1.217,0.91,0.092,0.1173,0.1418,0.1764,0.2249,0.2479,0.2596,0.3827,0.298,0.2031
90,NRP,V6,2,L,6,3,180N,1.16,0.908,0.0916,0.117,0.1407,0.1756,0.2282,0.2509,0.2631,0.3836,0.2971,0.2082
91,NRP,V6,2,M,7,1,180N,1.236,0.802,0.0887,0.1136,0.1413,0.1741,0.2181,0.24,0.2519,0.3885,0.3083,0.269
92,NRP,V6,2,M,7,1,240N,1.216,0.841,0.0903,0.1143,0.1423,0.1761,0.2169,0.2381,0.2525,0.3903,0.3141,0.2693
93,NRP,V6,2,M,7,1,0N,1.058,0.722,0.0895,0.1152,0.1401,0.1764,0.224,0.2451,0.2586,0.3897,0.3075,0.2788
94,NRP,V6,2,M,7,1,120N,1.228,0.792,0.0894,0.1146,0.1389,0.1735,0.2239,0.2462,0.2602,0.3892,0.3032,0.2771
95,NRP,V6,2,M,7,1,60N,1.195,0.87,0.0916,0.1169,0.1441,0.1772,0.2228,0.2462,0.259,0.3923,0.3089,0.2653
96,NRP,V6,2,M,7,2,240N,1.192,0.823,0.0859,0.1108,0.1347,0.1696,0.2224,0.2455,0.2595,0.3857,0.3005,0.2637
97,NRP,V6,2,M,7,2,120N,1.225,0.837,0.0876,0.1134,0.1395,0.1737,0.221,0.2435,0.2566,0.3869,0.3063,0.2591
98,NRP,V6,2,M,7,2,180N,1.269,0.799,0.084,0.1092,0.132,0.1667,0.2234,0.2475,0.2609,0.3832,0.2945,0.2661
99,NRP,V6,2,M,7,2,60N,1.132,0.814,0.0844,0.109,0.1316,0.1678,0.2197,0.2418,0.2545,0.3847,0.2984,0.2644
100,NRP,V6,2,M,7,2,0N,1.018,0.799,0.0896,0.1151,0.1395,0.1752,0.2225,0.2455,0.2595,0.3935,0.3071,0.2686
101,NRP,V6,2,M,7,3,0N,0.993,0.812,0.0846,0.1094,0.1336,0.1685,0.2188,0.2419,0.2556,0.3808,0.2997,0.2692
102,NRP,V6,2,M,7,3,240N,1.244,0.855,0.0821,0.1063,0.129,0.1634,0.2183,0.2434,0.2567,0.3774,0.296,0.2715
103,NRP,V6,2,M,7,3,60N,1.194,0.894,0.0857,0.1111,0.1355,0.1706,0.217,0.2388,0.2512,0.3766,0.2992,0.2624
104,NRP,V6,2,M,7,3,120N,1.191,0.811,0.0871,0.1123,0.1359,0.1689,0.2232,0.248,0.2617,0.382,0.2972,0.2749
105,NRP,V6,2,M,7,3,180N,1.269,0.765,0.0874,0.112,0.1371,0.1711,0.2186,0.2406,0.2551,0.3815,0.301,0.2776
106,SEB,V6,3,H,8,1,60N,0.875,0.929,0.0362,0.0615,0.0727,0.1015,0.1763,0.2043,0.2103,0.2694,0.2168,0.2332
107,SEB,V6,3,H,8,1,180N,0.901,0.881,0.0386,0.0629,0.0742,0.1052,0.1772,0.2026,0.2103,0.2758,0.2225,0.2312
108,SEB,V6,3,H,8,1,240N,0.972,1.031,0.0486,0.0744,0.0824,0.1121,0.1823,0.2065,0.2248,0.2848,0.2281,0.2367
109,SEB,V6,3,H,8,1,120N,0.974,0.867,0.0439,0.0699,0.0831,0.1107,0.1737,0.1964,0.2094,0.2859,0.235,0.2267
110,SEB,V6,3,H,8,1,0N,0.881,0.862,0.04,0.0648,0.0774,0.1082,0.1761,0.1965,0.2034,0.2801,0.2309,0.2252
111,SEB,V6,3,H,8,2,0N,0.892,0.94,0.0363,0.0615,0.0677,0.0981,0.1793,0.2071,0.2151,0.2731,0.2187,0.2354
112,SEB,V6,3,H,8,2,240N,1.014,0.903,0.0387,0.0638,0.0716,0.1,0.1717,0.195,0.2098,0.2767,0.2241,0.2243
113,SEB,V6,3,H,8,2,120N,0.964,0.888,0.0461,0.0727,0.0874,0.1134,0.1743,0.1998,0.2113,0.2877,0.2394,0.2283
114,SEB,V6,3,H,8,2,180N,0.999,0.908,0.0428,0.0679,0.0799,0.1113,0.1729,0.1959,0.2077,0.2851,0.235,0.2243
115,SEB,V6,3,H,8,2,60N,0.892,0.866,0.0412,0.0652,0.0755,0.1026,0.169,0.1956,0.2037,0.2817,0.2292,0.2254
116,SEB,V6,3,H,8,3,180N,0.617,0.966,0.0342,0.0594,0.0674,0.0955,0.1699,0.1966,0.2099,0.2754,0.2241,0.2267
117,SEB,V6,3,H,8,3,120N,0.942,0.843,0.0376,0.0632,0.0726,0.0976,0.167,0.191,0.2044,0.2768,0.2294,0.2234
118,SEB,V6,3,H,8,3,60N,0.867,0.878,0.0382,0.0627,0.0755,0.1035,0.1713,0.1933,0.2067,0.2753,0.2288,0.2216
119,SEB,V6,3,H,8,3,0N,0.834,0.905,0.0371,0.0611,0.0704,0.0977,0.1694,0.1938,0.2048,0.2747,0.226,0.2228
120,SEB,V6,3,H,8,3,240N,1.021,0.914,0.0395,0.0626,0.0754,0.0997,0.1578,0.1802,0.1938,0.2813,0.2306,0.2119
121,SEB,V6,3,L,9,1,60N,0.985,0.778,0.0348,0.0588,0.0704,0.0958,0.1484,0.1676,0.1847,0.2793,0.2391,0.1962
122,SEB,V6,3,L,9,1,180N,0.889,0.777,0.0359,0.0586,0.0737,0.0972,0.1476,0.1663,0.183,0.2834,0.2423,0.1951
123,SEB,V6,3,L,9,1,240N,0.893,0.766,0.0382,0.0615,0.0783,0.1023,0.1524,0.1723,0.1867,0.288,0.2447,0.2003
124,SEB,V6,3,L,9,1,120N,0.927,0.778,0.0407,0.0639,0.0815,0.1055,0.1557,0.1768,0.1888,0.2946,0.2549,0.2058
125,SEB,V6,3,L,9,1,0N,0.939,0.753,0.0431,0.0666,0.0849,0.1092,0.158,0.1772,0.1927,0.299,0.2587,0.2088
126,SEB,V6,3,L,9,2,0N,0.895,0.756,0.0391,0.0625,0.0781,0.1046,0.1588,0.1793,0.1945,0.2992,0.2589,0.209
127,SEB,V6,3,L,9,2,240N,0.903,0.757,0.0409,0.0646,0.083,0.1061,0.1489,0.1685,0.1838,0.3001,0.2589,0.199
128,SEB,V6,3,L,9,2,120N,1.064,0.786,0.0359,0.0593,0.0729,0.0999,0.1561,0.1766,0.1922,0.284,0.2443,0.2055
129,SEB,V6,3,L,9,2,180N,0.922,0.787,0.0351,0.0608,0.076,0.1014,0.1616,0.1819,0.1976,0.2851,0.2405,0.2118
130,SEB,V6,3,L,9,2,60N,1.112,0.802,0.0355,0.0598,0.0742,0.0987,0.155,0.1763,0.1916,0.2802,0.2407,0.2042
131,SEB,V6,3,L,9,3,180N,1.031,0.747,0.0393,0.0644,0.0815,0.107,0.163,0.1823,0.1997,0.2983,0.2556,0.2129
132,SEB,V6,3,L,9,3,120N,0.812,0.695,0.0388,0.0635,0.0792,0.1036,0.158,0.1768,0.1943,0.2873,0.2461,0.2048
133,SEB,V6,3,L,9,3,60N,0.985,0.742,0.0398,0.0622,0.0797,0.1041,0.1507,0.1698,0.1858,0.2926,0.2516,0.1995
134,SEB,V6,3,L,9,3,0N,0.88,0.725,0.04,0.0639,0.0798,0.106,0.155,0.1753,0.1892,0.2935,0.2542,0.2045
135,SEB,V6,3,L,9,3,240N,0.933,0.757,0.0378,0.062,0.0782,0.104,0.1572,0.1786,0.1956,0.2873,0.2415,0.2088
136,SEB,V6,4,H,10,1,0N,1.088,1.05,0.0525,0.0741,0.0827,0.114,0.1941,0.2267,0.2434,0.3018,0.2195,0.2537
137,SEB,V6,4,H,10,1,180N,1.142,0.938,0.0587,0.0792,0.0923,0.1208,0.1964,0.2282,0.2431,0.3145,0.2296,0.2567
138,SEB,V6,4,H,10,1,240N,1.039,0.847,0.0548,0.0756,0.0868,0.1154,0.1912,0.2228,0.238,0.3024,0.2239,0.2505
139,SEB,V6,4,H,10,1,120N,1.038,0.944,0.0503,0.0718,0.0809,0.1107,0.1872,0.2207,0.2348,0.2947,0.2168,0.2476
140,SEB,V6,4,H,10,1,60N,0.836,0.944,0.0518,0.0725,0.0831,0.1115,0.189,0.2214,0.2364,0.2938,0.2137,0.2485
141,SEB,V6,4,H,10,2,60N,0.982,1.012,0.0477,0.069,0.0768,0.1079,0.1863,0.2185,0.2327,0.2952,0.2147,0.2447
142,SEB,V6,4,H,10,2,240N,1.073,0.99,0.0527,0.0754,0.0863,0.1165,0.1925,0.2251,0.2401,0.3094,0.2257,0.2531
143,SEB,V6,4,H,10,2,120N,1.142,0.979,0.0527,0.0729,0.0845,0.1164,0.1902,0.2218,0.2345,0.3083,0.2278,0.2484
144,SEB,V6,4,H,10,2,180N,1.094,0.994,0.0542,0.0744,0.0867,0.1146,0.1928,0.226,0.2423,0.3051,0.222,0.2549
145,SEB,V6,4,H,10,2,0N,1.124,1.008,0.0494,0.0699,0.0797,0.108,0.1892,0.2224,0.237,0.294,0.2118,0.2501
146,SEB,V6,4,H,10,3,180N,1.168,0.831,0.0499,0.0716,0.0816,0.1088,0.1899,0.2223,0.2396,0.2965,0.2157,0.2486
147,SEB,V6,4,H,10,3,120N,1.042,0.981,0.0492,0.0705,0.08,0.1105,0.1913,0.2222,0.237,0.2989,0.2166,0.2488
148,SEB,V6,4,H,10,3,60N,1.226,0.957,0.0527,0.0732,0.084,0.1133,0.1889,0.221,0.2362,0.3038,0.2244,0.2472
149,SEB,V6,4,H,10,3,0N,0.949,1.106,0.0532,0.0839,0.0858,0.1141,0.1918,0.2245,0.241,0.3007,0.2194,0.253
150,SEB,V6,4,H,10,3,240N,1.13,0.999,0.0491,0.0714,0.0794,0.1107,0.197,0.234,0.2513,0.2969,0.2108,0.259
156,SEB,V6,4,L,11,4,180N,1.078,0.768,0.0616,0.0838,0.0987,0.1273,0.1971,0.2274,0.2456,0.3308,0.2528,0.2554
157,SEB,V6,4,L,11,2,60N,1.061,0.69,0.06,0.0801,0.0939,0.1232,0.1902,0.221,0.2358,0.3176,0.2451,0.2478
158,SEB,V6,4,L,11,2,240N,1.076,0.714,0.0556,0.0759,0.088,0.1157,0.1887,0.2186,0.2329,0.307,0.2361,0.2435
159,SEB,V6,4,L,11,2,120N,1.079,0.6,0.0569,0.0775,0.0892,0.1171,0.1883,0.2209,0.2348,0.3069,0.2346,0.2487
160,SEB,V6,4,L,11,2,180N,1.081,0.761,0.0585,0.0793,0.0899,0.1205,0.1937,0.2256,0.2381,0.3102,0.2344,0.251
161,SEB,V6,4,L,11,2,0N,1,0.751,0.0562,0.0779,0.0884,0.1188,0.1942,0.2262,0.239,0.3063,0.2333,0.2517
162,SEB,V6,4,L,11,4,0N,0.999,0.559,0.0648,0.0883,0.1053,0.1369,0.1992,0.2281,0.2449,0.3509,0.2722,0.2579
163,SEB,V6,4,L,11,4,240N,1.078,0.666,0.067,0.0892,0.1073,0.138,0.2042,0.2349,0.2523,0.3534,0.2679,0.2658
164,SEB,V6,4,L,11,4,60N,1.115,0.663,0.0665,0.0897,0.1073,0.1386,0.2046,0.2363,0.2543,0.3497,0.2654,0.2666
165,SEB,V6,4,L,11,4,120N,0.953,0.814,0.0649,0.0876,0.103,0.1359,0.2039,0.2355,0.2514,0.342,0.2577,0.2643
166,SEB,V6,4,L,11,3,180N,0.996,0.661,0.061,0.0826,0.0961,0.1255,0.195,0.2273,0.2426,0.3239,0.2469,0.2542
167,SEB,V6,4,L,11,3,120N,1.087,0.745,0.0594,0.0797,0.0916,0.1196,0.1885,0.2206,0.2333,0.3124,0.2402,0.2454
168,SEB,V6,4,L,11,3,60N,1.036,0.555,0.0546,0.0756,0.0864,0.1176,0.188,0.2207,0.2334,0.3078,0.2344,0.2455
